Passenger ID,Passenger Fare,Ticket Class,Ticket Number,Cabin,Embarkation Country,Name,Age,Gender,NumSiblingSpouse,NumParentChild,Survived
1,$13.05,3,A./5. 2152,0,S,"Cann, Mr. Ernest Charles",21.0,male,0,0,No
4,$25.575,3,C.A. 2315,0,S,"Dean, Mr. Bertram Frank",26.0,male,1,2,No
5,$24.2583,3,2666,0,C,"Baclini, Miss. Eugenie",0.75,female,2,1,Yes
6,$20.5,3,36568,0,Q,"McEvoy, Mr. Michael",0.0,male,0,0,No
7,$13.05,3,A4. 54510,0,S,"Moore, Mr. Leonard Charles",0.0,male,0,0,No
10,$12.8958,3,349253,0,C,"Kraeff, Mr. Theodor",0.0,male,0,0,No
11,$19.4542,3,2659,0,C,"Yasbeck, Mrs. Antoni (Selini Alexander)",15.0,female,1,0,Yes
12,$36.275,3,347082,0,S,"Andersson, Miss. Sigrid Elisabeth",11.0,female,4,2,No
13,$12.925,3,STON/O 2. 3101288,0,S,"Stranden, Mr. Juho",31.0,male,0,0,Yes
14,$12.4958,3,3101265,0,S,"Sjoblom, Miss. Anna Sofia",18.0,female,0,0,Yes
15,$12.8958,3,349254,0,C,"Gheorgheff, Mr. Stanio",0.0,male,0,0,No
16,$57,1,113789,0,S,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,female,1,0,Yes
17,$24.2583,3,2666,0,C,"Baclini, Miss. Helene Barbara",0.75,female,2,1,Yes
18,$12.775,3,347071,0,S,"Lindahl, Miss. Agda Thorilda Viktoria",25.0,female,0,0,No
19,$30.4667,3,4133,0,S,"Lefebre, Miss. Mathilde",0.0,female,3,1,No
20,$12.8792,3,330980,0,Q,"Mockler, Miss. Helen Mary ""Ellie""",0.0,female,0,0,Yes
21,$13.05,3,342826,0,S,"Sawyer, Mr. Frederick Charles",24.5,male,0,0,No
22,$13.05,3,373450,0,S,"Allen, Mr. William Henry",35.0,male,0,0,No
23,$12.925,3,3101296,0,S,"Salonen, Mr. Johan Werner",39.0,male,0,0,No
25,$12.8958,3,349252,0,S,"Vovk, Mr. Janko",22.0,male,0,0,No
26,$18.5,2,248731,0,S,"Chapman, Mr. Charles Henry",52.0,male,0,0,No
27,$23.7875,3,2699,0,C,"Hassan, Mr. Houssein G N",11.0,male,0,0,No
29,$5,3,LINE,0,S,"Johnson, Mr. William Cahoone Jr",19.0,male,0,0,No
30,$12.225,3,2623,0,C,"Badt, Mr. Mohamed",40.0,male,0,0,No
31,$19,2,29011,0,S,"Moraweck, Dr. Ernest",54.0,male,0,0,No
32,$28.45,3,W./C. 6607,0,S,"Johnston, Miss. Catherine Helen ""Carrie""",0.0,female,1,2,No
33,$12.05,3,SOTON/O.Q. 3101312,0,S,"Ali, Mr. William",25.0,male,0,0,No
34,$12.75,3,370372,0,Q,"McMahon, Mr. Martin",0.0,male,0,0,No
35,$30.4667,3,4133,0,S,"Lefebre, Miss. Jeannie",0.0,female,3,1,No
36,$12.75,3,368703,0,Q,"Mernagh, Mr. Robert",0.0,male,0,0,No
37,$44,2,29750,0,S,"Brown, Mr. Thomas William Solomon",60.0,male,1,1,No
38,$13.6833,3,349244,0,S,"Osman, Mrs. Mara",31.0,female,0,0,Yes
39,$12.75,3,367229,0,Q,"Kiernan, Mr. Philip",0.0,male,1,0,No
40,$35,2,237789,0,S,"Christy, Miss. Julie Rachel",25.0,female,1,1,Yes
41,$25.25,3,C.A. 2673,0,S,"Abbott, Mr. Rossmore Edward",16.0,male,1,1,No
43,$32.7208,2,SC/PARIS 2167,0,C,"del Carlo, Mr. Sebastiano",29.0,male,1,0,No
44,$12.75,3,367231,0,Q,"Carr, Miss. Helen ""Ellen""",16.0,female,0,0,Yes
46,$12.7333,3,A/5. 13032,0,Q,"Charters, Mr. David",21.0,male,0,0,No
47,$13.05,3,A/5 2817,0,S,"Peduzzi, Mr. Joseph",0.0,male,0,0,No
48,$25.2125,3,370129,0,S,"Rosblom, Mr. Viktor Richard",18.0,male,1,1,No
49,$31,2,2908,0,S,"Beane, Mr. Edward",32.0,male,1,0,Yes
52,$5,1,112052,0,S,"Parr, Mr. William Henry Marsh",0.0,male,0,0,No
53,$30.4667,3,4133,0,S,"Lefebre, Miss. Ida",0.0,female,3,1,No
54,$18.8583,2,SC/PARIS 2149,0,C,"Duran y More, Miss. Asuncion",27.0,female,1,0,Yes
55,$13.05,3,364506,0,S,"Morley, Mr. William",34.0,male,0,0,No
57,$12.05,3,SOTON/O.Q. 3101307,0,S,"Coelho, Mr. Domingos Fernandeo",20.0,male,0,0,No
58,$13.6625,3,315084,0,S,"Cacic, Miss. Marija",30.0,female,0,0,No
59,$12.775,3,347076,0,S,"Petterson, Mr. Johan Emil",25.0,male,1,0,No
60,$12.8958,3,349203,0,S,"Dantcheff, Mr. Ristiu",25.0,male,0,0,No
62,$12.75,3,335677,0,Q,"Glynn, Miss. Mary Agatha",0.0,female,0,0,Yes
64,$31.55,1,111428,0,S,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0,male,0,0,Yes
65,$14.5,3,345778,0,S,"de Pelsmaeker, Mr. Alfons",16.0,male,0,0,No
68,$12.925,3,STON/O 2. 3101294,0,S,"Pekoniemi, Mr. Edvard",21.0,male,0,0,No
69,$12.7958,3,350035,0,S,"Svensson, Mr. Olof",24.0,male,0,0,No
73,$23,3,345764,0,S,"Vander Planke, Miss. Augusta Maria",18.0,female,2,0,No
74,$12.2292,3,2687,0,C,"Ayoub, Miss. Banoura",13.0,female,0,0,Yes
75,$15.5,2,28206,0,S,"Slemen, Mr. Richard James",35.0,male,0,0,No
77,$12.25,3,323592,0,S,"Keefe, Mr. Arthur",0.0,male,0,0,No
80,$232.525,1,PC 17757,0,C,"Robbins, Mr. Victor",0.0,male,0,0,No
82,$87.1708,1,PC 17604,0,C,"Meyer, Mr. Edgar Joseph",28.0,male,1,0,No
83,$24.2583,3,2666,0,C,"Baclini, Miss. Marie Catherine",5.0,female,2,1,Yes
84,$19.5,2,250649,0,S,"Hamalainen, Master. Viljo",0.67,male,1,1,Yes
85,$21.1,3,386525,0,S,"Davison, Mrs. Thomas Henry (Mary E Finck)",0.0,female,1,0,Yes
86,$18,2,244361,0,S,"Sedgwick, Mr. Charles Frederick Waddington",25.0,male,0,0,No
87,$12.75,3,335097,0,Q,"Connaghton, Mr. Michael",31.0,male,0,0,No
88,$14.35,3,PP 4348,0,S,"Berglund, Mr. Karl Ivar Sven",22.0,male,0,0,No
89,$39.375,3,W./C. 6608,0,S,"Ford, Miss. Doolina Margaret ""Daisy""",21.0,female,2,2,No
91,$35.6958,1,PC 17600,0,C,"Hoyt, Mr. William Fisher",0.0,male,0,0,No
93,$12.2292,3,2629,0,C,"Razi, Mr. Raihed",0.0,male,0,0,No
94,$12.8958,3,349243,0,S,"Hendekovic, Mr. Ignjac",28.0,male,0,0,No
95,$13.6625,3,315094,0,S,"Oreskovic, Mr. Luka",20.0,male,0,0,No
99,$12.05,3,SOTON/O.Q. 3101310,0,S,"Asim, Mr. Adola",35.0,male,0,0,No
102,$19.4542,3,2665,0,C,"Zabour, Miss. Thamine",0.0,female,1,0,No
103,$25.25,3,C.A. 2673,0,S,"Abbott, Mrs. Stanton (Rosa Hunt)",35.0,female,1,1,Yes
104,$13.6625,3,349239,0,C,"Stankovic, Mr. Ivan",33.0,male,0,0,No
